epoch,train_mse,test_mse
0,0.174093,0.170288
100,0.143424,0.141421
200,0.115437,0.112568
300,0.077185,0.072321
400,0.056196,0.048931
500,0.049938,0.041088
600,0.047837,0.03809
700,0.04694,0.036681
800,0.046476,0.035934
900,0.046198,0.035499
1000,0.046016,0.035226
1100,0.045886,0.035045
1200,0.045792,0.034921
1300,0.04572,0.034837
1400,0.045665,0.034777
1500,0.045621,0.034732
1600,0.045585,0.034696
1700,0.045554,0.034667
1800,0.045523,0.034641
1900,0.045491,0.034617
2000,0.045452,0.034593
2100,0.045403,0.034565
2200,0.045336,0.034528
2300,0.045242,0.034474
2400,0.045106,0.034393
2500,0.044909,0.034272
2600,0.044624,0.034094
2700,0.04422,0.033848
2800,0.043673,0.033528
2900,0.042967,0.033138
3000,0.042106,0.032686
3100,0.041108,0.032187
3200,0.039993,0.031642
3300,0.038768,0.031041
3400,0.037422,0.030357
3500,0.035966,0.029548
3600,0.034441,0.028608
3700,0.032868,0.027593
3800,0.031284,0.026555
3900,0.029757,0.025534
4000,0.028362,0.024564
4100,0.02714,0.023677
4200,0.026097,0.02289
4300,0.02522,0.022208
4400,0.024486,0.021631
4500,0.023875,0.021151
4600,0.023367,0.020757
4700,0.022941,0.020434
4800,0.022583,0.020167
4900,0.022278,0.019944
5000,0.022016,0.019753
5100,0.021786,0.019588
5200,0.021583,0.019441
5300,0.021399,0.019308
5400,0.02123,0.019186
5500,0.021071,0.019069
5600,0.020919,0.018956
5700,0.020769,0.018844
5800,0.020619,0.018727
5900,0.020464,0.018602
6000,0.020299,0.018459
6100,0.020115,0.018286
6200,0.019894,0.018059
6300,0.019606,0.017763
6400,0.01925,0.017484
6500,0.018928,0.017319
6600,0.018674,0.017193
6700,0.018462,0.017064
6800,0.018276,0.01694
6900,0.018107,0.016823
7000,0.017951,0.016711
7100,0.017805,0.016602
7200,0.017668,0.016495
7300,0.017537,0.016391
7400,0.017411,0.016292
7500,0.017289,0.016198
7600,0.01717,0.016109
7700,0.017053,0.016023
7800,0.016939,0.015942
7900,0.016827,0.015866
8000,0.016717,0.015794
8100,0.01661,0.015726
8200,0.016506,0.015662
8300,0.016403,0.0156
8400,0.016302,0.01554
8500,0.016201,0.015479
8600,0.016099,0.015417
8700,0.015994,0.015352
8800,0.015885,0.015284
8900,0.015769,0.015209
9000,0.015642,0.015122
9100,0.015501,0.015021
9200,0.015345,0.014904
9300,0.015174,0.014774
9400,0.014995,0.014635
9500,0.01482,0.014501
9600,0.01466,0.014381
9700,0.014522,0.014284
9800,0.014407,0.014212
9900,0.014309,0.01416
